name,episode_num
Jake Peralta,130
Rosa Diaz,130
Terry Jeffords,130
Amy Santiago,130
Charles Boyle,130
Ray Holt,130
Michael Hitchcock,119
Norm Scully,119
Gina Linetti,116
Kevin Cozner,10
Madeline Wuntch,9
Adrian Pimento,11
The Vulture,7
Doug Judy,6
Marcus,6
Vivian Ludley,5
Teddy Wells,5
Sharon Jeffords,5
Genevieve Mirren-Carter,5
Hank,5
Officer Lou,5
Sophia,4
Lieutenant Melanie Hawkins,4
Lynn Boyle,4
Bill,4
Perp,4
Melipnos,3
Detective Lohank,3
Roger Peralta,3
Captain Jason Stentley,3
Captain McGinley,3
Zeke,3
Darlene Linetti,3
Seamus Murphy,3
Nikolaj Boyle,3
Sam Boyle,3
Judge Marinovich,3
Agent Ryan Whealon,3
Carl Kurm,3
Fire Marshall Boone,2
Karen Peralta,2
Victor Santiago,2
Bob Annderson,2
Caleb,2
Deputy Commissioner Podolski,2
Maura Figgis,2
Kylie,2
D. C. Parlov,2
Sheriff Reynolds,2
Veronica Hopkins,2
Capt. Olivia Crawford,2
Dr. Oliver Cox,2
Geoffrey Hoytsman,2
Janx Ingram,2
Jeff Romero,2
Savant,2
Deputy Chief Gerber,2
Desk Sergeant Hank,2
Young Holt,2
Detective Paxton,2
Warden Granville,2
Young Terry,2
Sylvia Dunnes,2
U.S. Marshal Karen Haas,2
Isaac,2
Jeremy,2
Ruth,2
Maggie,2
Mark,2
Cagney Jeffords,2
Chief Garmin,2
Young Jake,2
Lacey Jeffords,2
Marv,2
Allen - Tough Guy,2
Tank,2
Ryan,2
Chiaki,2
Young Jake,2
Hayes Chett,2
Jenny Gildenhorn,2
Tito,2
Dr. Ronald Yee,2
Ernesto,2
Paul Haimes,2
Debbie Stovelman,2
Graham,2
Peter,2
Bar Patron,2
Romero's Henchman,2
Dustin Whitman,1
Dr. Rossi,1
Jimmy Brogan,1
Adam Sandler,1
Trooper Clint,1
Jerry Grundhaven,1
Doorman,1
Super Dan,1
Sister Steve,1
8-Year-Old Charles,1
Hillary,1
Jack Danger,1
Leo Sporm,1
Eric 'Fingers' Martin,1
Bianca,1
Tanya,1
Miss Miriam,1
Dave Majors,1
Soren,1
Agent Kendrick,1
Marvin Miller,1
Frederick,1
Lieutenant Singh,1
Jessica Day,1
Eleanor,1
John William Weichselbraun,1
Dr. Porp,1
Taylor,1
Det. Stevie Schillens,1
Judge Laverne Holt,1
Greg,1
Daniel Valdano,1
Mark Devereaux,1
Officer Maldack,1
Arlo,1
Jean Munhroe,1
Oscar Diaz,1
Cindy Shatz,1
Philip Davidson,1
Jay Chandrasekhar,1
Melvin Stermley,1
Kate,1
Alicia,1
Della Alvarado,1
Reginald VelJohnson,1
I.L. Suarez,1
Mario Lopez,1
Young Scully,1
Mikey Joseph,1
Gordon Lundt,1
Uncle Bob,1
Ahmed,1
Elaine,1
Steven,1
Sal,1
Gil,1
Donny,1
Trevor Podolski,1
Mrs. Patterson,1
Airport Official,1
Delivery Guy,1
Officer Deetmore,1
Police Officer,1
Dr. Martin Cozner,1
Mr. Henders,1
Duncan Traub,1
Diane,1
Joe Theismann,1
Vic Turring,1
Brandon Jacoby,1
Brian Hip,1
Bram Applebaum,1
Dr. Susman,1
White Detective,1
Captain Dozerman,1
Agneta,1
Nick Lingeman,1
Pete Za,1
Endy,1
Roena Luesto,1
Patrick,1
Detective Holderton,1
Nick DiTullio,1
Ellen,1
Anthony,1
Marco Severino,1
Kurt Ovarp,1
Mean Marge,1
Mara Ciprioni,1
Shredder Owner,1
Estelle,1
Captain Orleans,1
Ray,1
George Judy,1
Matthew Langdon,1
Phil,1
Don,1
Jeffrey Bouché,1
Camila Santiago,1
George Kenderson,1
Tricia,1
Tommy Boyle,1
Marshawn Lynch,1
Julia Diaz,1
Kyle Murphy,1
Negotiator,1
William,1
Travis,1
Eunice,1
Claire Damont,1
Brett Booth,1
Sam Jepson,1
Theo Lorql,1
Quentin Chase,1
Chef Kinkle,1
Young Hitchcock,1
Mario,1
Martha,1
Sexy Robot,1
Louie,1
Perp,1
Charles's Sister,1
Uniformed Cop,1
Joseph,1
Vladimir,1
Lt. Andrew Miller,1
Impound Supervisor,1
Special Agent Marx,1
Tattoo Guy,1
Janice,1
Jim,1
Hugh,1
Dr. Martins,1
Bernice,1
Frank Spond,1
Sophia Bunsen,1
Chief Fisker,1
Ronnie,1
Reggie Bludsoe,1
Lt. Ian Hink,1
Nadia,1
Oolong Slayer,1
Margaret Dozerman,1
Brenda Hix,1
Gene Doublehorn,1
Arman - Perp,1
Wayne Tercelle - Clerk,1
Sam Malone,1
Agent Piln,1
Dan Yaeger,1
Chantelle,1
Steve,1
Mel Szeriank,1
Chad,1
Alan,1
Deputy Inspector Flynt,1
Yordano,1
Russian Guy,1
Joey Garibaldi,1
Will Yuarint,1
Steve Henderson,1
Debbie,1
Emily,1
Andy Chovy,1
Jimmy 'The Butcher' Figgis,1
Jordan Carfton,1
Jorfrey,1
Officer Jellison,1
Glandis,1
Muriel,1
Fred Manchille,1
Ted,1
Jeremy,1
Gary Lurmax,1
Landon Lawson,1
Billy Ocampo,1
Becca Boyle,1
Daniella Andrade,1
Dom,1
Milton,1
Devin Cathertaur,1
Nick,1
Rachel,1
Constantine Kane,1
Bob #1,1
Ezra,1
Andrew,1
Nikki,1
Kurt,1
Troy Lunniker,1
Gary Jennings,1
Sandy Gerbfur,1
Juan Ramirez-Xerpatico,1
John Kelly,1
Uniformed Cop,1
Andrea,1
Kid,1
Ratko,1
Banana Perp,1
Purse Snatcher,1
Judd Sterrino,1
Carlene,1
Steve Millerbund,1
Old Mobster,1
Doctor Nash,1
Porto,1
Mafia Thug #1,1
Martin Lipstunk,1
Spencer,1
Annalise,1
Lawrence,1
Melissa,1
Norman 'The Barber' Lee,1
Lenny,1
Randall,1
Gregory Phillips,1
Brian Jensen,1
Lucas Wint,1
Ugo,1
Michael Augustine,1
Osif,1
Gerald,1
Matt,1
Sheriff Grant Knox,1
Agatha O'Reilly,1
Milo,1
Zub,1
Dr. Henderson,1
Rake,1
Bryce,1
Devon Mound,1
Glinda,1
Tom Olson,1
Neil deGrasse Tyson,1
Random Woman,1
Justin Steinfein,1
Ship Photographer,1
Jay-Jay,1
Rob,1
Dylan,1
Martie,1
Bill Russo,1
Kernt,1
Melv Velvet,1
Det. Callahan,1
Deepa Dish,1
Martin A. Navratilov,1
Dino Ciprioni,1
David,1
Armored Truck Guard,1
Jenny,1
Thad,1
Ethan Moorgil,1
Donald,1
Pandemic,1
Brennan,1
Morris Richman,1
Bill,1
Tina Boyle,1
Detective Dyson,1
Woman,1
Williamson,1
Helena,1
Deputy Commissioner Aggerton,1
Alan Straunch,1
Bodie,1
Cassie Sinclair,1
Dealer,1
John Kelly I,1
Airport Cop,1
James Kim,1
Officer Colin Wilg,1
Louise Mindar,1
Dario Moretti,1
Dallas,1
Ted,1
Marissa Costa,1
Rebecca Bonebrake,1
George,1
Calista,1
Lance Legweak,1
Judge Constance Copeland,1
Grammy Nona Boyle,1
Bunder,1
Tarzan,1
Big Santa,1
Sue,1
Kari,1
Hector,1
Dancer With Holt,1
Fran,1
Ava,1
Marco,1
Tony,1
Mitch Lorth,1
Frank,1
Perp,1
Eric,1
Bart Ender,1
Jeff,1
Alexei Bisko,1
Loan Officer,1
Kyle,1
Austin,1
Stig,1
Greg Gerg,1
Hal Dumonde,1
Jenny Gildenhorn,1
Diane,1
Matt Blarkn,1
Milton,1
The Super,1
Klaus,1
Dixon Carfunk,1
Keyton Marks,1
Teenager,1
Quebec Policeman,1
Gary Shaw,1
Agent Mazzarino,1
Henry Coles,1
Ian Britches,1
Mystery Guest,1
Noelle Cohen,1
Det. Paul,1
Gemma,1
Zerb Gudanya,1
Franklin,1
Kris Lloyd Evert,1
Jenny,1
Celine,1
Patrick,1
Olek,1
Brad Stick,1
Chico,1
Miles Moorgil,1
Strickland,1
Sarah,1
NYPD Officer,1
Eugene,1
Guy,1
Marco,1
Susan Mintz-Plasse,1
Griff,1
Steve Boyle,1
Nurse Elrog,1
Nightmare,1
Boban,1
Pam,1
Waiter,1
Marvis,1
Cy,1
Ida,1
Young Gio Costa,1
Danny Matthews,1
Rosa's Niece,1
Sergeant Crawley,1
Old Man,1
Estelle,1
Sergeant,1
Royal Baby #3,1
Young Haimes,1
Gabe,1
Helen (Ethel Musterberg),1
Gus Wimbledon,1
Murray,1
Katie,1
Nate Borgio,1
Bev,1
Perp #1,1
Nancy,1
Gloria,1
Dr. Gertrude Mindel,1
Eyewitness with Hat,1
Hank Berlusconi,1
Photographer,1
Ann Sladj,1
Lexi,1
Dvora,1
Detective Maxime Drexel,1
Bob,1
Tricia,1
Ramon,1
Mitch,1
Justice of the Peace,1
Evan Spekesup,1
Hestus,1
Edmund Grail,1
Deputy #1,1
Blarn,1
Ivan Tragovic,1
Dmitri Kuzkho,1
Benji Russo,1
Kellan Heller,1
Deputy Commissioner Ultrecht,1
Bill Dugan,1
Henderson,1
Haley Lee,1
Visitation Guard #2,1
Jessica Moorgil,1
Angela Stojanovski,1
Richard,1
Deputy Commissioner Grayson,1
Bully,1
Beth Nurminstein,1
Bella,1
Teri,1
Estelle Glour,1
Al,1
Anne Sumter,1
Angela,1
Officer Dirk Murkurerk,1
Timothy,1
Venue Employee,1
Victor Lake,1
Sergio Mindar,1
Eric Franklin,1
Gio Costa,1
Thomas,1
Woman at Mahjong,1
Raggedy Ann,1
Little Santa,1
George,1
Irwin,1
Johnny Ianucci,1
Sid Wells,1
Mechanic,1
Abel,1
Gerard,1
Themselves,1
Clancy Thomas,1
Alice - Hostess,1
Lucas,1
Officer Chiccub,1
Paul Thatch,1
Karl-Ove,1
Jennifer,1
Luis Gotaro,1
Carly,1
Berj Jones,1
John Lux,1
Sergei,1
Mitch,1
Erick Dirph,1
Brian,1
Cindy Russo,1
Patrick Ewing,1
Phil,1
Temma,1
Debbie,1
Dylan,1
Margo,1
Mattingly,1
Florence Tinj,1
Brenda,1
Chip,1
Steve,1
Ka'lar,1
Todd,1
Aubrey,1
Helen,1
Bob #2,1
Aunt Linda,1
Laura,1
Young Marissa Costa,1
Lorenzo,1
Woman at Mahjong,1
Mrs. Stratton,1
Prostitute,1
Dante,1
George,1
Lengarry Len Ross,1
Alfonso,1
Benny,1
McKenzie,1
Lorne,1
Susan,1
Eugene,1
Wax Eagan,1
Ann Lurks,1
Mildred Lench,1
Li Ongoing,1
Svetlana,1
Judy-Jill Lenda,1
Visitation Guard #1,1
Pervert,1
Trivia Host,1
Jesse Gurmwald,1
Lenore Michaelson,1
Gus,1
Ed,1
EMT,1
Brandon Bliss,1
Grace Maravilla,1
Simon,1
Woman at Mahjong,1
John Perpton,1
Perp,1
Tattooed Con,1
Judge Mindel,1
Mafia Thug #2,1
Bobby,1
Susan Grapecoat,1
Grant,1
Betty,1
Brynn DeRose,1
Deputy Thom,1
Kit Durnings,1
Young Woman,1
Officer Brian,1
Trishelle,1
Patrick Faricy,1
Jason,1
Rosa's Sister,1
Gino,1
Angela D'Beverly,1
Muscular Con,1
Scott,1
Slade Austin,1
Anna Hsu,1
Alan Wilson,1
Helgata,1
Gwen,1
Paul,1
Uniformed Cop,1
Richmond,1
Emcee - Gilbert,1
Sinister Con,1
Bill Voss,1
Bryce,1
Perp #1,1
Melanie,1
Lookout Fred,1
Cyclops,1
Perp #2,1
Scott,1
Agent Nathan Clarke,1
Nancy Crunder,1
Gang Leader,1
Perp #5,1
Kevin,1
Samuel Miller,1
Perp #4,1
Jury Forewoman,1
Perp #3,1
Attendee,1
Prisoner,1
Bar Patron,1
Bar Patron,1
Patron,1
John Urblan,1
Wendy Polm,1
Yanya,1
New York Police Officer,1
Dr. Theresa Moore,1
Jean,1
Albert,1
Lyle,1
Ernest,1
Seth Haggerty,1
Francesca Griglio,1
Cheryl,1
Nurse Janet,1
Jasper Norton,1
Alan Thinne,1
Craig,1
Regina Park,1
Alexandra,1
Ron,1
Police Officer,NA
Arrested Criminal,NA
Officer,NA
Janitor,NA
Perpetrator Dude,NA
Art Auction Attendee,NA
Tattooed Perp,NA
Perpetrator,NA
Bar Patron,NA
Bar Patron,NA
Grady Lamount (Shady Guy),NA
Lawyer,NA
Angry Family Member,NA
Janitorial Henchman,NA
Matthews (SkinHead),NA
Prison Visitor,NA
Mark,NA
Royal Baby,NA
Robber,NA
Zombie Drug Dealer,NA
Rave DJ,NA
Royal Baby,NA
Bunder's Smoke Friend,NA
Baked Potato Guy,NA
Police Officer,NA
Student,NA
Royal Baby,NA
Robber,NA
Gorilla Drug Dealer,NA
Disco Strangler,NA
Homeless Man,NA
Young Mom,NA
Crying Defendant,NA
Jury Member,NA
Disco Strangler's Victim,NA
Perp,NA
Raver,NA
Detective,NA
Criminal Suspect,NA
Tito's Bodyguard,NA
Bar Patron,NA
Detective,NA
Italian Chef,NA
Wedding Guest,NA
Vladmir's Henchman,NA
Pedestrian,NA
Undercover Officer,NA
Dirtbag,NA
Ballroom Dancer,NA
Perp At Precinct,NA
Mrs. Peacock,NA
Prisoner,NA
Perp #2,NA
Marco,NA
Christmas Tree Salesman,NA
Diner Patron 1988,NA
Perp,NA
Children's Choir Member,NA
Perp,NA
Choir Boy #2,NA
NYPD on Sidelines,NA
Pedestrian,NA
Training Officer To,NA
Inmate,NA
Bar Patron,NA
Little Miss Side Braid,NA
Hungarian Waitress,NA
Subway Rider,NA
Pedestrian,NA
ATF Agent,NA
Gunter,NA
Police Officer,NA
NY Pedestrian,NA
Gregor Minsk,NA
Homeland Security Agent,NA
Bodybuilder,NA
Uniform Cop,NA
Hungarian Waitress,NA
Deejay,NA
Train Passenger,NA
Jenny Gildenhorn Date,NA
NY Pedestrian,NA
Lawyer,NA
ATF Agent,NA
Tommy Tran,NA
Tanner - MTA Singer,NA
Fun Zone Employee,NA
Newbie Prisoner,NA
Russian,NA
Jerremy,NA
Mark Ozerov,NA
Airport Patron,NA
Drug Dealer,NA
Flaco,NA
Book Geek,NA
Pizza Delivery Guy,NA
MTA Singer #5,NA
Wendy - MTA Singer,NA
Airport BG,NA
Phlebotomist,NA
Russian,NA
MTA Singer,NA
Jeff,NA
Pedestrian,NA
New Yorker,NA
Night Shift Employee,NA
Undercover Detective,NA
Hacky Sac Player,NA
Flaco's Assistant,NA
Bethany,NA
High Five Mourner,NA
Julia - MTA Singer,NA
NYPD S.W.A.T.,NA
EMT,NA
Jack the Reaper,NA
Thomas Hauser,NA
Charity Worker,NA
Bar Patron,NA
Traveling businesswoman,NA
Photographer,NA
Sneakerhead,NA
NutriBoom Customer,NA
Thug,NA
NutriBoom Employee,NA
Police Officer,NA
Uniformed Cop,NA
Russian Bath House Patron,NA
